Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Computer Science & Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,383160,1342898
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Computer Science & Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,200557,243432
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Computer Science & Engineering,OS,SC,Gender-Neutral,,SCNOOS,838577,838577
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,787235,1096075
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute)",Electrical & Electronics Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,208530,208530
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority institute)",Electronics & |Communication Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,380448,1155077
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority institute)",Electronics & |Communication Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,180700,180700
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana (Jain Minority institute)",Electronics & |Communication Engineering,OS,SC,Gender-Neutral,,SCNOOS,1034480,1034480
"Shri Balwant Institute of Technology, Merrut Road (Paliri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute!",Information Technology,HS,OPEN,Gender-Neutral,,OPNOHS,487648,1116909
"Shri Balwant Institute of Technology, Merrut Road (Paliri), Sonipat, NCR Delhi), Haryana (Jain Minority Institute!",Information Technology,OS,OPEN,Gender-Neutral,,OPNOOS,210367,244669
