Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Buddha Institute Of Technology,Gorakhpur",Civil Engineering,HS,OPEN,Gender-Neutral,,771430,1429147
Round 1,"School Of Management Science (Sms Institute Of Technology),Lucknow",Electrical Engineering,HS,OPEN,Gender-Neutral,,1353764,1353764
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science And Engineering(Data Science),HS,OBC-NCL,Female-only (including Supernumerary),,847255,1201791
Round 1,"M. J. P. Ruhelkhand University, Bareilly",Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,,1248609,1422888
Round 1,"Institute Of Engineering & Technology,Lucknow",Mechanical Engineering,HS,OPEN (PwD),Gender-Neutral,,845200,845200
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science and Engineering (Artificial Intelligence),HS,EWS,Gender-Neutral,,843885,843885
Round 1,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Electronics and Communication Engineering,HS,SC,Female-only (including Supernumerary),,490364,985438
Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Electronics and Communication Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,646715,840502
Round 1,"Kanpur Institute Of Technology,Kanpur",Electrical & Electronics Engineering,HS,OPEN,Female-only (including Supernumerary),,943714,943714
Round 1,"Babu Banarsi Das Institute Of Tech.,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,467326,1439944
Round 1,"Inderprastha Engg. College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,1175646,1175646
Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Mechanical Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,1142127,1142127
Round 1,"S.R.Institute Of Management & Technology,Lucknow",Agriculture Engineering,HS,OPEN,Gender-Neutral,,863371,1438098
Round 1,Maharaja Suhel Dev State University Azamgarh.,Computer Science Engineering,HS,EWS,Female-only (including Supernumerary),,1062020,1170347
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics and Communication Engineering,HS,EWS,Gender-Neutral,,1082071,1178767
Round 1,Greater Noida College,Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,520146,579222
Round 1,"Lucknow Institute Of Technology,Lucknow",Computer Science and Engineering,HS,ST,Gender-Neutral,,444246,444246
Round 1,"Shri Ram Swaroop Memorial College Of Engg. & Management,Lucknow",Information Technology,HS,OBC-NCL,Female-only (including Supernumerary),,1357817,1357817
Round 1,"Moradabad Institute Of Technology,Moradabad",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,1257105,1350292
Round 1,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Gender-Neutral,AF,324864,479135
